<SECTION>,SEGMENT,,,,,,,,,
Segment,PERFORMANCE,,,,,,,,,
Flavor,RAM_ONLY,,,,,,,,,
Offset Address,0,Applicable for EEPROM only,,,,,,,,
SegmentPrefix,BMS,,,,,,,,,
RefreshTime (sec),0,"Applicable for EEPROM only, 0-On Demand, other value - sec",,,,Results,,,,
varType,varName,varDepth,varDesc,,,FinalName,TypeSize,TotalSize,Depth,Comment
uint8_t,MODULE_BATT_1,10,MODULE_BATT_1  variable,,,SVAR_BMS_MODULE_BATT_1_u8,1,10,10,MODULE_BATT_1  variable
uint8_t,MODULE_BATT_2,1,MODULE_BATT_2  variable,,,SVAR_BMS_MODULE_BATT_2_u8,1,1,1,MODULE_BATT_2  variable
uint8_t,MODULE_BATT_3,1,MODULE_BATT_3  variable,,,SVAR_BMS_MODULE_BATT_3_u8,1,1,1,MODULE_BATT_3  variable
int16_t,MODULE_BATT_4,1,MODULE_BATT_4  variable,,,SVAR_BMS_MODULE_BATT_4_s16,2,2,1,MODULE_BATT_4  variable
uint8_t,MODULE_BATT_5,1,MODULE_BATT_5  variable,,,SVAR_BMS_MODULE_BATT_5_u8,1,1,1,MODULE_BATT_5  variable
uint8_t,MODULE_BATT_6,1,MODULE_BATT_6  variable,,,SVAR_BMS_MODULE_BATT_6_u8,1,1,1,MODULE_BATT_6  variable
uint8_t,MODULE_BATT_7,1,MODULE_BATT_7  variable,,,SVAR_BMS_MODULE_BATT_7_u8,1,1,1,MODULE_BATT_7  variable
uint8_t,MODULE_BATT_8,1,MODULE_BATT_8  variable,,,SVAR_BMS_MODULE_BATT_8_u8,1,1,1,MODULE_BATT_8  variable
uint32_t,MODULE_BATT_9,1,MODULE_BATT_9  variable,,,SVAR_BMS_MODULE_BATT_9_u32,4,4,1,MODULE_BATT_9  variable
uint8_t,MODULE_BATT_10,1,MODULE_BATT_10  variable,,,SVAR_BMS_MODULE_BATT_10_u8,1,1,1,MODULE_BATT_10  variable
uint8_t,MODULE_BATT_11,1,MODULE_BATT_11  variable,,,SVAR_BMS_MODULE_BATT_11_u8,1,1,1,MODULE_BATT_11  variable
uint32_t,MODULE_BATT_12,1,MODULE_BATT_12  variable,,,SVAR_BMS_MODULE_BATT_12_u32,4,4,1,MODULE_BATT_12  variable
uint8_t,MODULE_BATT_13,2,MODULE_BATT_13  variable,,,SVAR_BMS_MODULE_BATT_13_u8,1,2,2,MODULE_BATT_13  variable
uint64_t,MODULE_BATT_14,1,MODULE_BATT_14  variable,,,SVAR_BMS_MODULE_BATT_14_u64,8,8,1,MODULE_BATT_14  variable
uint8_t,MODULE_BATT_15,1,MODULE_BATT_15  variable,,,SVAR_BMS_MODULE_BATT_15_u8,1,1,1,MODULE_BATT_15  variable
uint8_t,MODULE_BATT_16,1,MODULE_BATT_16  variable,,,SVAR_BMS_MODULE_BATT_16_u8,1,1,1,MODULE_BATT_16  variable
bool,MODULE_BATT_17,1,MODULE_BATT_17  variable,,,SVAR_BMS_MODULE_BATT_17_b,1,1,1,MODULE_BATT_17  variable
bool,MODULE_BATT_18,1,MODULE_BATT_18  variable,,,SVAR_BMS_MODULE_BATT_18_b,1,1,1,MODULE_BATT_18  variable
uint8_t,MODULE_BATT_19,1,MODULE_BATT_19  variable,,,SVAR_BMS_MODULE_BATT_19_u8,1,1,1,MODULE_BATT_19  variable
uint8_t,MODULE_BATT_20,1,MODULE_BATT_20  variable,,,SVAR_BMS_MODULE_BATT_20_u8,1,1,1,MODULE_BATT_20  variable
uint8_t,MODULE_BATT_21,1,MODULE_BATT_21  variable,,,SVAR_BMS_MODULE_BATT_21_u8,1,1,1,MODULE_BATT_21  variable
uint8_t,MODULE_BATT_22,1,MODULE_BATT_22  variable,,,SVAR_BMS_MODULE_BATT_22_u8,1,1,1,MODULE_BATT_22  variable
uint8_t,MODULE_BATT_23,1,MODULE_BATT_23  variable,,,SVAR_BMS_MODULE_BATT_23_u8,1,1,1,MODULE_BATT_23  variable
svAdd,MODULE_BATT_24,1,MODULE_BATT_24  variable,,,SVAR_BMS_MODULE_BATT_24_add,4,4,1,MODULE_BATT_24  variable
uint8_t,MODULE_BATT_25,1,MODULE_BATT_25  variable,,,SVAR_BMS_MODULE_BATT_25_u8,1,1,1,MODULE_BATT_25  variable
uint8_t,MODULE_BATT_26,1,MODULE_BATT_26  variable,,,SVAR_BMS_MODULE_BATT_26_u8,1,1,1,MODULE_BATT_26  variable
uint8_t,MODULE_BATT_27,1,MODULE_BATT_27  variable,,,SVAR_BMS_MODULE_BATT_27_u8,1,1,1,MODULE_BATT_27  variable
uint8_t,MODULE_BATT_28,1,MODULE_BATT_28  variable,,,SVAR_BMS_MODULE_BATT_28_u8,1,1,1,MODULE_BATT_28  variable
